toa,toa_sub,Female,Gender - All,Male,Unspecified,cube,quarter
Non-permanent,Non-permanent,41057.0,86594.0,45532.0,,Employment - September 2000,2000-09
Unspecified,Unspecified,22.0,69.0,43.0,,Employment - September 2000,2000-09
Permanent,10-Competitive Service - Career,503892.0,1124926.0,621020.0,14.0,Employment - September 2001,2001-09
Permanent,15-Competitive Service - Career-Conditional,59459.0,136995.0,77529.0,,Employment - September 2001,2001-09
Permanent,30-Excepted Service - Schedule A,13629.0,34293.0,20664.0,,Employment - September 2001,2001-09
Permanent,32-Excepted Service - Schedule B,3281.0,9261.0,5980.0,,Employment - September 2001,2001-09
Permanent,36-Excepted Service - Executive,,12.0,,,Employment - September 2001,2001-09
Permanent,38-Excepted Service - Other,84593.0,224491.0,139896.0,,Employment - September 2001,2001-09
Permanent,50-Senior Executive Service - Career,1534.0,6310.0,4776.0,,Employment - September 2001,2001-09
Permanent,55-Senior Executive Service - Non-Career,68.0,280.0,212.0,,Employment - September 2001,2001-09
Permanent,**-Unspecified,16.0,59.0,43.0,,Employment - September 2001,2001-09
Permanent,Permanent,666477.0,1536627.0,870127.0,23.0,Employment - September 2001,2001-09
Non-permanent,20-Competitive Service,15189.0,35245.0,20056.0,,Employment - September 2001,2001-09
Non-permanent,40-Excepted Service - Schedule A,7962.0,13829.0,5867.0,,Employment - September 2001,2001-09
Non-permanent,42-Excepted Service - Schedule B,4513.0,9801.0,5288.0,,Employment - September 2001,2001-09
Non-permanent,44-Excepted Service - Schedule C,437.0,931.0,494.0,,Employment - September 2001,2001-09
Non-permanent,46-Excepted Service - Executive,94.0,401.0,307.0,,Employment - September 2001,2001-09
Non-permanent,48-Excepted Service - Other,11646.0,25298.0,13652.0,,Employment - September 2001,2001-09
Non-permanent,60-Senior Executive Service - Limited Term,55.0,222.0,167.0,,Employment - September 2001,2001-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,13.0,,,Employment - September 2001,2001-09
Non-permanent,Non-permanent,39898.0,85740.0,45842.0,,Employment - September 2001,2001-09
Unspecified,Unspecified,16.0,63.0,45.0,,Employment - September 2001,2001-09
Permanent,10-Competitive Service - Career,501320.0,1110988.0,609655.0,13.0,Employment - September 2002,2002-09
Permanent,15-Competitive Service - Career-Conditional,65002.0,155527.0,90504.0,21.0,Employment - September 2002,2002-09
Permanent,30-Excepted Service - Schedule A,14587.0,35910.0,21323.0,,Employment - September 2002,2002-09
Permanent,32-Excepted Service - Schedule B,4576.0,11987.0,7409.0,,Employment - September 2002,2002-09
Permanent,36-Excepted Service - Executive,,13.0,,,Employment - September 2002,2002-09
Permanent,38-Excepted Service - Other,95267.0,257796.0,162523.0,,Employment - September 2002,2002-09
Permanent,50-Senior Executive Service - Career,1577.0,6197.0,4620.0,,Employment - September 2002,2002-09
Permanent,55-Senior Executive Service - Non-Career,153.0,630.0,477.0,,Employment - September 2002,2002-09
Permanent,**-Unspecified,100.0,206.0,106.0,,Employment - September 2002,2002-09
Permanent,Permanent,682586.0,1579254.0,896626.0,42.0,Employment - September 2002,2002-09
Non-permanent,20-Competitive Service,14169.0,35236.0,21061.0,,Employment - September 2002,2002-09
Non-permanent,40-Excepted Service - Schedule A,8027.0,14735.0,6707.0,,Employment - September 2002,2002-09
Non-permanent,42-Excepted Service - Schedule B,4939.0,11235.0,6295.0,,Employment - September 2002,2002-09
