toa,toa_sub,Minority,Non-Minority,Unspecified,Ethnicity and Race Indicator - All,cube,quarter
Permanent,38-Excepted Service - Other,129440.0,253527.0,104.0,383071.0,Diversity - June 2014,2014-06
Permanent,50-Senior Executive Service - Career,1369.0,5641.0,,7010.0,Diversity - June 2014,2014-06
Permanent,55-Senior Executive Service - Non-Career,184.0,478.0,,662.0,Diversity - June 2014,2014-06
Permanent,**-Unspecified,5.0,15.0,,20.0,Diversity - June 2014,2014-06
Permanent,Permanent,642446.0,1173430.0,376.0,1816252.0,Diversity - June 2014,2014-06
Non-permanent,20-Competitive Service,7231.0,28992.0,,36223.0,Diversity - June 2014,2014-06
Non-permanent,40-Excepted Service - Schedule A,3702.0,9175.0,,12878.0,Diversity - June 2014,2014-06
Non-permanent,42-Excepted Service - Schedule B,816.0,1714.0,,2530.0,Diversity - June 2014,2014-06
Non-permanent,44-Excepted Service - Schedule C,449.0,872.0,,1321.0,Diversity - June 2014,2014-06
Non-permanent,45-Excepted Service - Schedule D,1741.0,3598.0,,5339.0,Diversity - June 2014,2014-06
Non-permanent,46-Excepted Service - Executive,152.0,422.0,,574.0,Diversity - June 2014,2014-06
Non-permanent,48-Excepted Service - Other,11515.0,23678.0,,35195.0,Diversity - June 2014,2014-06
Non-permanent,60-Senior Executive Service - Limited Term,17.0,78.0,,95.0,Diversity - June 2014,2014-06
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - June 2014,2014-06
Non-permanent,Non-permanent,25623.0,68530.0,,94156.0,Diversity - June 2014,2014-06
Unspecified,Unspecified,,8.0,,9.0,Diversity - June 2014,2014-06
Permanent,10-Competitive Service - Career,445670.0,780028.0,258.0,1225956.0,Diversity - September 2014,2014-09
Permanent,15-Competitive Service - Career-Conditional,50076.0,98156.0,6.0,148238.0,Diversity - September 2014,2014-09
Permanent,30-Excepted Service - Schedule A,15202.0,29197.0,6.0,44405.0,Diversity - September 2014,2014-09
Permanent,32-Excepted Service - Schedule B,1875.0,4149.0,,6025.0,Diversity - September 2014,2014-09
Permanent,35-Excepted Service - Schedule D,2438.0,3573.0,,6011.0,Diversity - September 2014,2014-09
Permanent,36-Excepted Service - Executive,4.0,29.0,,33.0,Diversity - September 2014,2014-09
Permanent,38-Excepted Service - Other,131346.0,255932.0,107.0,387385.0,Diversity - September 2014,2014-09
Permanent,50-Senior Executive Service - Career,1390.0,5621.0,,7011.0,Diversity - September 2014,2014-09
Permanent,55-Senior Executive Service - Non-Career,199.0,483.0,,682.0,Diversity - September 2014,2014-09
Permanent,**-Unspecified,5.0,11.0,,16.0,Diversity - September 2014,2014-09
Permanent,Permanent,648205.0,1177179.0,378.0,1825762.0,Diversity - September 2014,2014-09
Non-permanent,20-Competitive Service,7052.0,26068.0,,33120.0,Diversity - September 2014,2014-09
Non-permanent,40-Excepted Service - Schedule A,3499.0,8399.0,,11899.0,Diversity - September 2014,2014-09
Non-permanent,42-Excepted Service - Schedule B,647.0,1340.0,,1987.0,Diversity - September 2014,2014-09
Non-permanent,44-Excepted Service - Schedule C,492.0,895.0,,1387.0,Diversity - September 2014,2014-09
Non-permanent,45-Excepted Service - Schedule D,1177.0,1705.0,,2882.0,Diversity - September 2014,2014-09
Non-permanent,46-Excepted Service - Executive,146.0,432.0,,578.0,Diversity - September 2014,2014-09
Non-permanent,48-Excepted Service - Other,11491.0,23181.0,,34674.0,Diversity - September 2014,2014-09
Non-permanent,60-Senior Executive Service - Limited Term,18.0,77.0,,95.0,Diversity - September 2014,2014-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - September 2014,2014-09
Non-permanent,Non-permanent,24522.0,62099.0,,86624.0,Diversity - September 2014,2014-09
Unspecified,Unspecified,,8.0,,10.0,Diversity - September 2014,2014-09
Permanent,10-Competitive Service - Career,444113.0,777194.0,251.0,1221558.0,Diversity - December 2014,2014-12
Permanent,15-Competitive Service - Career-Conditional,50733.0,99580.0,7.0,150320.0,Diversity - December 2014,2014-12
Permanent,30-Excepted Service - Schedule A,15377.0,29472.0,6.0,44855.0,Diversity - December 2014,2014-12
Permanent,32-Excepted Service - Schedule B,1781.0,4064.0,,5846.0,Diversity - December 2014,2014-12
Permanent,35-Excepted Service - Schedule D,2850.0,4181.0,,7031.0,Diversity - December 2014,2014-12
Permanent,36-Excepted Service - Executive,4.0,30.0,,34.0,Diversity - December 2014,2014-12
Permanent,38-Excepted Service - Other,132972.0,257681.0,105.0,390758.0,Diversity - December 2014,2014-12
Permanent,50-Senior Executive Service - Career,1405.0,5697.0,,7102.0,Diversity - December 2014,2014-12
Permanent,55-Senior Executive Service - Non-Career,203.0,491.0,,694.0,Diversity - December 2014,2014-12
Permanent,**-Unspecified,7.0,12.0,,19.0,Diversity - December 2014,2014-12
Permanent,Permanent,649445.0,1178402.0,370.0,1828217.0,Diversity - December 2014,2014-12
Non-permanent,20-Competitive Service,5543.0,15571.0,,21114.0,Diversity - December 2014,2014-12
Non-permanent,40-Excepted Service - Schedule A,3103.0,7439.0,,10543.0,Diversity - December 2014,2014-12
Non-permanent,42-Excepted Service - Schedule B,607.0,1364.0,,1971.0,Diversity - December 2014,2014-12
Non-permanent,44-Excepted Service - Schedule C,529.0,920.0,,1449.0,Diversity - December 2014,2014-12
Non-permanent,45-Excepted Service - Schedule D,825.0,1240.0,,2065.0,Diversity - December 2014,2014-12
Non-permanent,46-Excepted Service - Executive,148.0,445.0,,593.0,Diversity - December 2014,2014-12
Non-permanent,48-Excepted Service - Other,11565.0,22766.0,,34333.0,Diversity - December 2014,2014-12
Non-permanent,60-Senior Executive Service - Limited Term,19.0,73.0,,92.0,Diversity - December 2014,2014-12
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - December 2014,2014-12
Non-permanent,Non-permanent,22340.0,49819.0,,72162.0,Diversity - December 2014,2014-12
Unspecified,Unspecified,,6.0,,8.0,Diversity - December 2014,2014-12
Permanent,10-Competitive Service - Career,441731.0,769343.0,254.0,1211328.0,Diversity - March 2015,2015-03
Permanent,15-Competitive Service - Career-Conditional,52168.0,101254.0,7.0,153429.0,Diversity - March 2015,2015-03
Permanent,30-Excepted Service - Schedule A,15609.0,29593.0,7.0,45209.0,Diversity - March 2015,2015-03
Permanent,32-Excepted Service - Schedule B,1666.0,3834.0,,5501.0,Diversity - March 2015,2015-03
Permanent,35-Excepted Service - Schedule D,2875.0,4251.0,,7126.0,Diversity - March 2015,2015-03
Permanent,36-Excepted Service - Executive,4.0,28.0,,32.0,Diversity - March 2015,2015-03
Permanent,38-Excepted Service - Other,134349.0,257827.0,102.0,392278.0,Diversity - March 2015,2015-03
Permanent,50-Senior Executive Service - Career,1411.0,5643.0,,7054.0,Diversity - March 2015,2015-03
Permanent,55-Senior Executive Service - Non-Career,210.0,527.0,,737.0,Diversity - March 2015,2015-03
Permanent,**-Unspecified,4.0,12.0,,16.0,Diversity - March 2015,2015-03
Permanent,Permanent,650027.0,1172312.0,371.0,1822710.0,Diversity - March 2015,2015-03
Non-permanent,20-Competitive Service,5686.0,15682.0,,21368.0,Diversity - March 2015,2015-03
Non-permanent,40-Excepted Service - Schedule A,3179.0,7623.0,,10803.0,Diversity - March 2015,2015-03
Non-permanent,42-Excepted Service - Schedule B,571.0,1321.0,,1892.0,Diversity - March 2015,2015-03
Non-permanent,44-Excepted Service - Schedule C,540.0,927.0,,1467.0,Diversity - March 2015,2015-03
Non-permanent,45-Excepted Service - Schedule D,643.0,863.0,,1506.0,Diversity - March 2015,2015-03
Non-permanent,46-Excepted Service - Executive,148.0,431.0,,579.0,Diversity - March 2015,2015-03
Non-permanent,48-Excepted Service - Other,11744.0,22798.0,,34544.0,Diversity - March 2015,2015-03
Non-permanent,60-Senior Executive Service - Limited Term,16.0,69.0,,85.0,Diversity - March 2015,2015-03
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - March 2015,2015-03
Non-permanent,Non-permanent,22528.0,49715.0,,72246.0,Diversity - March 2015,2015-03
Unspecified,Unspecified,,6.0,,8.0,Diversity - March 2015,2015-03
Permanent,10-Competitive Service - Career,442285.0,766681.0,271.0,1209237.0,Diversity - June 2015,2015-06
Permanent,15-Competitive Service - Career-Conditional,53958.0,103579.0,19.0,157556.0,Diversity - June 2015,2015-06
Permanent,30-Excepted Service - Schedule A,15993.0,29889.0,7.0,45889.0,Diversity - June 2015,2015-06
Permanent,32-Excepted Service - Schedule B,1646.0,3829.0,,5476.0,Diversity - June 2015,2015-06
Permanent,35-Excepted Service - Schedule D,3888.0,6427.0,,10316.0,Diversity - June 2015,2015-06
Permanent,36-Excepted Service - Executive,4.0,29.0,,33.0,Diversity - June 2015,2015-06
Permanent,38-Excepted Service - Other,137350.0,259771.0,164.0,397285.0,Diversity - June 2015,2015-06
Permanent,50-Senior Executive Service - Career,1427.0,5650.0,,7077.0,Diversity - June 2015,2015-06
Permanent,55-Senior Executive Service - Non-Career,206.0,530.0,,736.0,Diversity - June 2015,2015-06
Permanent,**-Unspecified,5.0,10.0,,15.0,Diversity - June 2015,2015-06
Permanent,Permanent,656762.0,1176395.0,463.0,1833620.0,Diversity - June 2015,2015-06
Non-permanent,20-Competitive Service,8140.0,29135.0,21.0,37296.0,Diversity - June 2015,2015-06
Non-permanent,40-Excepted Service - Schedule A,3759.0,10083.0,,13843.0,Diversity - June 2015,2015-06
Non-permanent,42-Excepted Service - Schedule B,612.0,1537.0,,2149.0,Diversity - June 2015,2015-06
Non-permanent,44-Excepted Service - Schedule C,537.0,937.0,,1474.0,Diversity - June 2015,2015-06
Non-permanent,45-Excepted Service - Schedule D,1915.0,3694.0,6.0,5615.0,Diversity - June 2015,2015-06
Non-permanent,46-Excepted Service - Executive,147.0,431.0,,578.0,Diversity - June 2015,2015-06
Non-permanent,48-Excepted Service - Other,12270.0,24670.0,25.0,36965.0,Diversity - June 2015,2015-06
Non-permanent,60-Senior Executive Service - Limited Term,17.0,68.0,,85.0,Diversity - June 2015,2015-06
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - June 2015,2015-06
Non-permanent,Non-permanent,27397.0,70556.0,53.0,98006.0,Diversity - June 2015,2015-06
Unspecified,Unspecified,,11.0,6.0,18.0,Diversity - June 2015,2015-06
Permanent,10-Competitive Service - Career,445223.0,768230.0,295.0,1213748.0,Diversity - September 2015,2015-09
Permanent,15-Competitive Service - Career-Conditional,56087.0,106036.0,34.0,162157.0,Diversity - September 2015,2015-09
Permanent,30-Excepted Service - Schedule A,16274.0,30378.0,8.0,46660.0,Diversity - September 2015,2015-09
Permanent,32-Excepted Service - Schedule B,1437.0,3458.0,,4896.0,Diversity - September 2015,2015-09
Permanent,35-Excepted Service - Schedule D,3695.0,5453.0,,9149.0,Diversity - September 2015,2015-09
Permanent,36-Excepted Service - Executive,4.0,29.0,,33.0,Diversity - September 2015,2015-09
Permanent,38-Excepted Service - Other,140734.0,262885.0,332.0,403951.0,Diversity - September 2015,2015-09
Permanent,50-Senior Executive Service - Career,1449.0,5689.0,,7138.0,Diversity - September 2015,2015-09
Permanent,55-Senior Executive Service - Non-Career,201.0,546.0,,747.0,Diversity - September 2015,2015-09
Permanent,**-Unspecified,4.0,11.0,,15.0,Diversity - September 2015,2015-09
Permanent,Permanent,665108.0,1182715.0,671.0,1848494.0,Diversity - September 2015,2015-09
Non-permanent,20-Competitive Service,7849.0,26815.0,25.0,34689.0,Diversity - September 2015,2015-09
Non-permanent,40-Excepted Service - Schedule A,3801.0,9504.0,,13308.0,Diversity - September 2015,2015-09
Non-permanent,42-Excepted Service - Schedule B,552.0,1455.0,,2007.0,Diversity - September 2015,2015-09
Non-permanent,44-Excepted Service - Schedule C,543.0,952.0,,1495.0,Diversity - September 2015,2015-09
Non-permanent,45-Excepted Service - Schedule D,1180.0,1600.0,,2781.0,Diversity - September 2015,2015-09
Non-permanent,46-Excepted Service - Executive,149.0,419.0,,568.0,Diversity - September 2015,2015-09
Non-permanent,48-Excepted Service - Other,12408.0,24387.0,96.0,36891.0,Diversity - September 2015,2015-09
Non-permanent,60-Senior Executive Service - Limited Term,17.0,66.0,,83.0,Diversity - September 2015,2015-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - September 2015,2015-09
Non-permanent,Non-permanent,26499.0,65199.0,125.0,91823.0,Diversity - September 2015,2015-09
Unspecified,Unspecified,8.0,16.0,6.0,30.0,Diversity - September 2015,2015-09
Permanent,10-Competitive Service - Career,446234.0,768305.0,243.0,1214782.0,Diversity - December 2015,2015-12
Permanent,15-Competitive Service - Career-Conditional,57356.0,107788.0,9.0,165153.0,Diversity - December 2015,2015-12
Permanent,30-Excepted Service - Schedule A,16752.0,31015.0,7.0,47774.0,Diversity - December 2015,2015-12
Permanent,32-Excepted Service - Schedule B,1367.0,3300.0,,4668.0,Diversity - December 2015,2015-12
Permanent,35-Excepted Service - Schedule D,4064.0,6009.0,,10075.0,Diversity - December 2015,2015-12
Permanent,36-Excepted Service - Executive,4.0,29.0,,33.0,Diversity - December 2015,2015-12
Permanent,38-Excepted Service - Other,142083.0,264194.0,129.0,406406.0,Diversity - December 2015,2015-12
Permanent,50-Senior Executive Service - Career,1476.0,5735.0,,7211.0,Diversity - December 2015,2015-12
Permanent,55-Senior Executive Service - Non-Career,205.0,543.0,,748.0,Diversity - December 2015,2015-12
Permanent,**-Unspecified,7.0,13.0,,20.0,Diversity - December 2015,2015-12
Permanent,Permanent,669548.0,1186931.0,391.0,1856870.0,Diversity - December 2015,2015-12
Non-permanent,20-Competitive Service,6136.0,16773.0,,22910.0,Diversity - December 2015,2015-12
Non-permanent,40-Excepted Service - Schedule A,3356.0,8219.0,,11576.0,Diversity - December 2015,2015-12
Non-permanent,42-Excepted Service - Schedule B,554.0,1554.0,,2108.0,Diversity - December 2015,2015-12
Non-permanent,44-Excepted Service - Schedule C,559.0,976.0,,1535.0,Diversity - December 2015,2015-12
Non-permanent,45-Excepted Service - Schedule D,749.0,1031.0,,1783.0,Diversity - December 2015,2015-12
Non-permanent,46-Excepted Service - Executive,149.0,419.0,,568.0,Diversity - December 2015,2015-12
Non-permanent,48-Excepted Service - Other,12237.0,23803.0,19.0,36059.0,Diversity - December 2015,2015-12
Non-permanent,60-Senior Executive Service - Limited Term,18.0,68.0,,86.0,Diversity - December 2015,2015-12
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - December 2015,2015-12
Non-permanent,Non-permanent,23758.0,52844.0,24.0,76626.0,Diversity - December 2015,2015-12
Unspecified,Unspecified,8.0,19.0,,28.0,Diversity - December 2015,2015-12
Permanent,10-Competitive Service - Career,440769.0,758567.0,246.0,1199582.0,Diversity - March 2016,2016-03
Permanent,15-Competitive Service - Career-Conditional,58460.0,109116.0,10.0,167586.0,Diversity - March 2016,2016-03
Permanent,30-Excepted Service - Schedule A,16955.0,31081.0,6.0,48042.0,Diversity - March 2016,2016-03
Permanent,32-Excepted Service - Schedule B,1320.0,3134.0,,4455.0,Diversity - March 2016,2016-03
Permanent,35-Excepted Service - Schedule D,4076.0,5667.0,,9744.0,Diversity - March 2016,2016-03
Permanent,36-Excepted Service - Executive,4.0,29.0,,33.0,Diversity - March 2016,2016-03
Permanent,38-Excepted Service - Other,144415.0,265179.0,119.0,409713.0,Diversity - March 2016,2016-03
Permanent,50-Senior Executive Service - Career,1464.0,5738.0,,7202.0,Diversity - March 2016,2016-03
Permanent,55-Senior Executive Service - Non-Career,201.0,544.0,,745.0,Diversity - March 2016,2016-03
Permanent,**-Unspecified,5.0,9.0,,14.0,Diversity - March 2016,2016-03
Permanent,Permanent,667669.0,1179064.0,383.0,1847116.0,Diversity - March 2016,2016-03
Non-permanent,20-Competitive Service,6133.0,16650.0,7.0,22790.0,Diversity - March 2016,2016-03
Non-permanent,40-Excepted Service - Schedule A,3375.0,8274.0,4.0,11653.0,Diversity - March 2016,2016-03
Non-permanent,42-Excepted Service - Schedule B,590.0,1590.0,,2180.0,Diversity - March 2016,2016-03
Non-permanent,44-Excepted Service - Schedule C,556.0,970.0,,1526.0,Diversity - March 2016,2016-03
Non-permanent,45-Excepted Service - Schedule D,600.0,709.0,,1312.0,Diversity - March 2016,2016-03
Non-permanent,46-Excepted Service - Executive,154.0,414.0,,568.0,Diversity - March 2016,2016-03
Non-permanent,48-Excepted Service - Other,12232.0,23893.0,19.0,36144.0,Diversity - March 2016,2016-03
Non-permanent,60-Senior Executive Service - Limited Term,18.0,67.0,,85.0,Diversity - March 2016,2016-03
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - March 2016,2016-03
Non-permanent,Non-permanent,23659.0,52569.0,33.0,76261.0,Diversity - March 2016,2016-03
Unspecified,Unspecified,14.0,21.0,,36.0,Diversity - March 2016,2016-03
Permanent,10-Competitive Service - Career,439052.0,750834.0,260.0,1190146.0,Diversity - June 2016,2016-06
Permanent,15-Competitive Service - Career-Conditional,63124.0,116284.0,37.0,179445.0,Diversity - June 2016,2016-06
Permanent,30-Excepted Service - Schedule A,17244.0,31450.0,9.0,48703.0,Diversity - June 2016,2016-06
Permanent,32-Excepted Service - Schedule B,1342.0,3203.0,,4546.0,Diversity - June 2016,2016-06
Permanent,35-Excepted Service - Schedule D,5002.0,7776.0,,12780.0,Diversity - June 2016,2016-06
Permanent,36-Excepted Service - Executive,4.0,29.0,,33.0,Diversity - June 2016,2016-06
Permanent,38-Excepted Service - Other,147038.0,266714.0,113.0,413865.0,Diversity - June 2016,2016-06
Permanent,50-Senior Executive Service - Career,1496.0,5764.0,,7260.0,Diversity - June 2016,2016-06
Permanent,55-Senior Executive Service - Non-Career,205.0,542.0,,747.0,Diversity - June 2016,2016-06
Permanent,**-Unspecified,8.0,11.0,,19.0,Diversity - June 2016,2016-06
Permanent,Permanent,674515.0,1182607.0,422.0,1857544.0,Diversity - June 2016,2016-06
Non-permanent,20-Competitive Service,8614.0,30153.0,541.0,39308.0,Diversity - June 2016,2016-06
Non-permanent,40-Excepted Service - Schedule A,3997.0,10483.0,87.0,14567.0,Diversity - June 2016,2016-06
Non-permanent,42-Excepted Service - Schedule B,656.0,1768.0,,2424.0,Diversity - June 2016,2016-06
Non-permanent,44-Excepted Service - Schedule C,551.0,975.0,,1526.0,Diversity - June 2016,2016-06
Non-permanent,45-Excepted Service - Schedule D,2130.0,3571.0,80.0,5781.0,Diversity - June 2016,2016-06
Non-permanent,46-Excepted Service - Executive,156.0,397.0,,553.0,Diversity - June 2016,2016-06
Non-permanent,48-Excepted Service - Other,12721.0,25432.0,23.0,38176.0,Diversity - June 2016,2016-06
Non-permanent,60-Senior Executive Service - Limited Term,17.0,74.0,,91.0,Diversity - June 2016,2016-06
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,4.0,Diversity - June 2016,2016-06
Non-permanent,Non-permanent,28843.0,72856.0,731.0,102430.0,Diversity - June 2016,2016-06
Unspecified,Unspecified,26.0,31.0,,58.0,Diversity - June 2016,2016-06
Permanent,10-Competitive Service - Career,439105.0,748410.0,278.0,1187793.0,Diversity - September 2016,2016-09
Permanent,15-Competitive Service - Career-Conditional,67392.0,122394.0,84.0,189870.0,Diversity - September 2016,2016-09
Permanent,30-Excepted Service - Schedule A,17644.0,31799.0,9.0,49452.0,Diversity - September 2016,2016-09
Permanent,32-Excepted Service - Schedule B,1281.0,3108.0,,4390.0,Diversity - September 2016,2016-09
Permanent,35-Excepted Service - Schedule D,4441.0,6237.0,4.0,10682.0,Diversity - September 2016,2016-09
Permanent,36-Excepted Service - Executive,4.0,28.0,,32.0,Diversity - September 2016,2016-09
Permanent,38-Excepted Service - Other,149582.0,268017.0,116.0,417715.0,Diversity - September 2016,2016-09
Permanent,50-Senior Executive Service - Career,1524.0,5812.0,,7336.0,Diversity - September 2016,2016-09
Permanent,55-Senior Executive Service - Non-Career,194.0,542.0,,736.0,Diversity - September 2016,2016-09
Permanent,**-Unspecified,12.0,9.0,,21.0,Diversity - September 2016,2016-09
Permanent,Permanent,681179.0,1186356.0,492.0,1868027.0,Diversity - September 2016,2016-09
Non-permanent,20-Competitive Service,8155.0,27457.0,561.0,36173.0,Diversity - September 2016,2016-09
Non-permanent,40-Excepted Service - Schedule A,3962.0,9903.0,71.0,13936.0,Diversity - September 2016,2016-09
Non-permanent,42-Excepted Service - Schedule B,669.0,1850.0,,2519.0,Diversity - September 2016,2016-09
Non-permanent,44-Excepted Service - Schedule C,539.0,976.0,,1515.0,Diversity - September 2016,2016-09
Non-permanent,45-Excepted Service - Schedule D,1114.0,1299.0,26.0,2439.0,Diversity - September 2016,2016-09
Non-permanent,46-Excepted Service - Executive,152.0,390.0,,542.0,Diversity - September 2016,2016-09
Non-permanent,48-Excepted Service - Other,12441.0,24686.0,20.0,37147.0,Diversity - September 2016,2016-09
Non-permanent,60-Senior Executive Service - Limited Term,17.0,69.0,,86.0,Diversity - September 2016,2016-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,4.0,Diversity - September 2016,2016-09
Non-permanent,Non-permanent,27050.0,66633.0,678.0,94361.0,Diversity - September 2016,2016-09
Unspecified,Unspecified,93.0,143.0,,237.0,Diversity - September 2016,2016-09
Permanent,10-Competitive Service - Career,439169.0,745322.0,293.0,1184784.0,Diversity - December 2016,2016-12
Permanent,15-Competitive Service - Career-Conditional,71574.0,127007.0,111.0,198692.0,Diversity - December 2016,2016-12
Permanent,30-Excepted Service - Schedule A,18132.0,32372.0,11.0,50515.0,Diversity - December 2016,2016-12
Permanent,32-Excepted Service - Schedule B,1225.0,3044.0,,4270.0,Diversity - December 2016,2016-12
Permanent,35-Excepted Service - Schedule D,4445.0,6336.0,12.0,10793.0,Diversity - December 2016,2016-12
Permanent,36-Excepted Service - Executive,4.0,28.0,,32.0,Diversity - December 2016,2016-12
Permanent,38-Excepted Service - Other,152118.0,269373.0,131.0,421622.0,Diversity - December 2016,2016-12
Permanent,50-Senior Executive Service - Career,1564.0,5921.0,,7485.0,Diversity - December 2016,2016-12
Permanent,55-Senior Executive Service - Non-Career,192.0,532.0,,724.0,Diversity - December 2016,2016-12
Permanent,**-Unspecified,7.0,11.0,,18.0,Diversity - December 2016,2016-12
Permanent,Permanent,688430.0,1189946.0,559.0,1878935.0,Diversity - December 2016,2016-12
Non-permanent,20-Competitive Service,6286.0,16933.0,171.0,23390.0,Diversity - December 2016,2016-12
Non-permanent,40-Excepted Service - Schedule A,3717.0,8735.0,21.0,12473.0,Diversity - December 2016,2016-12
Non-permanent,42-Excepted Service - Schedule B,702.0,1877.0,,2579.0,Diversity - December 2016,2016-12
Non-permanent,44-Excepted Service - Schedule C,519.0,930.0,,1449.0,Diversity - December 2016,2016-12
Non-permanent,45-Excepted Service - Schedule D,721.0,803.0,11.0,1535.0,Diversity - December 2016,2016-12
Non-permanent,46-Excepted Service - Executive,142.0,377.0,,519.0,Diversity - December 2016,2016-12
Non-permanent,48-Excepted Service - Other,12578.0,24132.0,11.0,36721.0,Diversity - December 2016,2016-12
Non-permanent,60-Senior Executive Service - Limited Term,13.0,72.0,,85.0,Diversity - December 2016,2016-12
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,4.0,Diversity - December 2016,2016-12
Non-permanent,Non-permanent,24679.0,53862.0,214.0,78755.0,Diversity - December 2016,2016-12
Unspecified,Unspecified,135.0,181.0,,319.0,Diversity - December 2016,2016-12
Permanent,10-Competitive Service - Career,437765.0,737345.0,323.0,1175433.0,Diversity - March 2017,2017-03
Permanent,15-Competitive Service - Career-Conditional,74985.0,129802.0,140.0,204927.0,Diversity - March 2017,2017-03
Permanent,30-Excepted Service - Schedule A,18301.0,32575.0,21.0,50897.0,Diversity - March 2017,2017-03
Permanent,32-Excepted Service - Schedule B,1221.0,3053.0,,4275.0,Diversity - March 2017,2017-03
Permanent,35-Excepted Service - Schedule D,4430.0,5911.0,11.0,10352.0,Diversity - March 2017,2017-03
Permanent,36-Excepted Service - Executive,4.0,27.0,,31.0,Diversity - March 2017,2017-03
Permanent,38-Excepted Service - Other,153331.0,269118.0,140.0,422589.0,Diversity - March 2017,2017-03
Permanent,50-Senior Executive Service - Career,1592.0,5919.0,,7511.0,Diversity - March 2017,2017-03
Permanent,55-Senior Executive Service - Non-Career,9.0,121.0,,130.0,Diversity - March 2017,2017-03
Permanent,**-Unspecified,9.0,9.0,,18.0,Diversity - March 2017,2017-03
Permanent,Permanent,691647.0,1183880.0,636.0,1876163.0,Diversity - March 2017,2017-03
Non-permanent,20-Competitive Service,5984.0,15740.0,161.0,21885.0,Diversity - March 2017,2017-03
Non-permanent,40-Excepted Service - Schedule A,3522.0,8373.0,15.0,11910.0,Diversity - March 2017,2017-03
Non-permanent,42-Excepted Service - Schedule B,711.0,1843.0,,2554.0,Diversity - March 2017,2017-03
Non-permanent,44-Excepted Service - Schedule C,76.0,516.0,,592.0,Diversity - March 2017,2017-03
Non-permanent,45-Excepted Service - Schedule D,525.0,498.0,16.0,1039.0,Diversity - March 2017,2017-03
Non-permanent,46-Excepted Service - Executive,57.0,186.0,,243.0,Diversity - March 2017,2017-03
Non-permanent,48-Excepted Service - Other,12560.0,23866.0,9.0,36435.0,Diversity - March 2017,2017-03
Non-permanent,60-Senior Executive Service - Limited Term,16.0,105.0,,122.0,Diversity - March 2017,2017-03
Non-permanent,65-Senior Executive Service - Limited Emergency,,5.0,,6.0,Diversity - March 2017,2017-03
Non-permanent,Non-permanent,23452.0,51132.0,202.0,74786.0,Diversity - March 2017,2017-03
Unspecified,Unspecified,140.0,196.0,6.0,342.0,Diversity - March 2017,2017-03
Permanent,10-Competitive Service - Career,439435.0,735766.0,327.0,1175528.0,Diversity - June 2017,2017-06
Permanent,15-Competitive Service - Career-Conditional,74142.0,126439.0,145.0,200726.0,Diversity - June 2017,2017-06
Permanent,30-Excepted Service - Schedule A,18198.0,32353.0,20.0,50571.0,Diversity - June 2017,2017-06
Permanent,32-Excepted Service - Schedule B,1228.0,3107.0,,4336.0,Diversity - June 2017,2017-06
Permanent,35-Excepted Service - Schedule D,4528.0,7486.0,20.0,12034.0,Diversity - June 2017,2017-06
Permanent,36-Excepted Service - Executive,4.0,27.0,,31.0,Diversity - June 2017,2017-06
Permanent,38-Excepted Service - Other,154209.0,268676.0,139.0,423024.0,Diversity - June 2017,2017-06
Permanent,50-Senior Executive Service - Career,1588.0,5855.0,,7443.0,Diversity - June 2017,2017-06
Permanent,55-Senior Executive Service - Non-Career,41.0,306.0,,349.0,Diversity - June 2017,2017-06
Permanent,**-Unspecified,10.0,8.0,,18.0,Diversity - June 2017,2017-06
Permanent,Permanent,693383.0,1180023.0,654.0,1874060.0,Diversity - June 2017,2017-06
Non-permanent,20-Competitive Service,8622.0,29086.0,580.0,38288.0,Diversity - June 2017,2017-06
Non-permanent,40-Excepted Service - Schedule A,3816.0,9197.0,30.0,13043.0,Diversity - June 2017,2017-06
Non-permanent,42-Excepted Service - Schedule B,736.0,1884.0,,2620.0,Diversity - June 2017,2017-06
Non-permanent,44-Excepted Service - Schedule C,78.0,618.0,,696.0,Diversity - June 2017,2017-06
Non-permanent,45-Excepted Service - Schedule D,1598.0,2493.0,63.0,4154.0,Diversity - June 2017,2017-06
Non-permanent,46-Excepted Service - Executive,54.0,183.0,,237.0,Diversity - June 2017,2017-06
Non-permanent,48-Excepted Service - Other,12872.0,25223.0,21.0,38116.0,Diversity - June 2017,2017-06
Non-permanent,60-Senior Executive Service - Limited Term,14.0,65.0,,79.0,Diversity - June 2017,2017-06
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - June 2017,2017-06
Non-permanent,Non-permanent,27790.0,68750.0,694.0,97234.0,Diversity - June 2017,2017-06
Unspecified,Unspecified,165.0,211.0,7.0,383.0,Diversity - June 2017,2017-06
