toa,toa_sub,Minority,Non-Minority,Unspecified,Ethnicity and Race Indicator - All,cube,quarter
Non-permanent,42-Excepted Service - Schedule B,6874.0,16147.0,7.0,23028.0,Diversity - June 2012,2012-06
Non-permanent,44-Excepted Service - Schedule C,437.0,970.0,,1407.0,Diversity - June 2012,2012-06
Non-permanent,46-Excepted Service - Executive,153.0,479.0,,632.0,Diversity - June 2012,2012-06
Non-permanent,48-Excepted Service - Other,11427.0,23568.0,9.0,35004.0,Diversity - June 2012,2012-06
Non-permanent,60-Senior Executive Service - Limited Term,25.0,91.0,,116.0,Diversity - June 2012,2012-06
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - June 2012,2012-06
Non-permanent,Non-permanent,32189.0,83500.0,29.0,115718.0,Diversity - June 2012,2012-06
Unspecified,Unspecified,16.0,100.0,,116.0,Diversity - June 2012,2012-06
Permanent,10-Competitive Service - Career,424339.0,758819.0,684.0,1183842.0,Diversity - September 2012,2012-09
Permanent,15-Competitive Service - Career-Conditional,73932.0,155288.0,62.0,229282.0,Diversity - September 2012,2012-09
Permanent,30-Excepted Service - Schedule A,14930.0,29394.0,17.0,44341.0,Diversity - September 2012,2012-09
Permanent,32-Excepted Service - Schedule B,3411.0,7524.0,,10937.0,Diversity - September 2012,2012-09
Permanent,35-Excepted Service - Schedule D,625.0,983.0,,1608.0,Diversity - September 2012,2012-09
Permanent,36-Excepted Service - Executive,5.0,25.0,,30.0,Diversity - September 2012,2012-09
Permanent,38-Excepted Service - Other,121344.0,250744.0,293.0,372381.0,Diversity - September 2012,2012-09
Permanent,50-Senior Executive Service - Career,1371.0,5825.0,,7198.0,Diversity - September 2012,2012-09
Permanent,55-Senior Executive Service - Non-Career,160.0,513.0,,674.0,Diversity - September 2012,2012-09
Permanent,**-Unspecified,5.0,13.0,,18.0,Diversity - September 2012,2012-09
Permanent,Permanent,640122.0,1209128.0,1061.0,1850311.0,Diversity - September 2012,2012-09
Non-permanent,20-Competitive Service,7899.0,26403.0,,34303.0,Diversity - September 2012,2012-09
Non-permanent,40-Excepted Service - Schedule A,4987.0,11684.0,8.0,16679.0,Diversity - September 2012,2012-09
Non-permanent,42-Excepted Service - Schedule B,2940.0,5971.0,6.0,8917.0,Diversity - September 2012,2012-09
